Coordenadas de búsqueda: (-3.9524, 38.9531, -3.8877, 39.0086)
Estado Inicial: (812954564, [803292583, 812954600])
Algoritmo de búsqueda: A

[0][NODO 835519284][por visitar: [801797283]]
[1][NODO 835519285][por visitar: [801797283]]
[2][NODO 835519286][por visitar: [801797283]]
[3][NODO 835519287][por visitar: [801797283]]
[4][NODO 835519288][por visitar: [801797283]]
[5][NODO 835519289][por visitar: [801797283]]
[6][NODO 835519290][por visitar: [801797283]]
[7][NODO 835519291][por visitar: [801797283]]
[8][NODO 2690959812][por visitar: [801797283]]
[9][NODO 2690959811][por visitar: [801797283]]
[10][NODO 2690959810][por visitar: [801797283]]
[11][NODO 2690959809][por visitar: [801797283]]
[12][NODO 2690959808][por visitar: [801797283]]
[13][NODO 2690959807][por visitar: [801797283]]
[14][NODO 1778412399][por visitar: [801797283]]
[15][NODO 1778412436][por visitar: [801797283]]
[16][NODO 1778412430][por visitar: [801797283]]
[17][NODO 1778412385][por visitar: [801797283]]
[18][NODO 1778412413][por visitar: [801797283]]
[19][NODO 1672258616][por visitar: [801797283]]
[20][NODO 1672258628][por visitar: [801797283]]
[21][NODO 1672258643][por visitar: [801797283]]
[22][NODO 1672258693][por visitar: [801797283]]
[23][NODO 1672258680][por visitar: [801797283]]
[24][NODO 1672258566][por visitar: [801797283]]
[25][NODO 1672258573][por visitar: [801797283]]
[26][NODO 1672258638][por visitar: [801797283]]
[27][NODO 1672258570][por visitar: [801797283]]
[28][NODO 1672258543][por visitar: [801797283]]
[29][NODO 1268097310][por visitar: [801797283]]
[30][NODO 798574778][por visitar: [801797283]]
[31][NODO 798574779][por visitar: [801797283]]
[32][NODO 506826687][por visitar: [801797283]]
[33][NODO 764039196][por visitar: [801797283]]
[34][NODO 503708638][por visitar: [801797283]]
[35][NODO 519006738][por visitar: [801797283]]
[36][NODO 506826691][por visitar: [801797283]]
[37][NODO 519006740][por visitar: [801797283]]
[38][NODO 812955433][por visitar: [801797283]]
[39][NODO 506826688][por visitar: [801797283]]
[40][NODO 812955140][por visitar: [801797283]]
[41][NODO 503708634][por visitar: [801797283]]
[42][NODO 812955051][por visitar: [801797283]]
[43][NODO 765309042][por visitar: [801797283]]
[44][NODO 504665885][por visitar: [801797283]]
[45][NODO 506826654][por visitar: [801797283]]
[46][NODO 503708632][por visitar: [801797283]]
[47][NODO 506826641][por visitar: [801797283]]
[48][NODO 812954931][por visitar: [801797283]]
[49][NODO 812954860][por visitar: [801797283]]
[50][NODO 503708630][por visitar: [801797283]]
[51][NODO 812954639][por visitar: [801797283]]
[52][NODO 812954453][por visitar: [801797283]]
[53][NODO 812954451][por visitar: [801797283]]
[54][NODO 812954527][por visitar: [801797283]]
[55][NODO 804689200][por visitar: [801797283]]
[56][NODO 804689198][por visitar: [801797283]]
[57][NODO 804689196][por visitar: [801797283]]
[58][NODO 804689194][por visitar: [801797283]]
[59][NODO 804689187][por visitar: [801797283]]
[60][NODO 804689186][por visitar: [801797283]]
[61][NODO 804689175][por visitar: [801797283]]
[62][NODO 804689140][por visitar: [801797283]]
[63][NODO 804689127][por visitar: [801797283]]
[64][NODO 522198130][por visitar: [801797283]]
[65][NODO 804689152][por visitar: [801797283]]
[66][NODO 804689150][por visitar: [801797283]]
[67][NODO 522198126][por visitar: [801797283]]
[68][NODO 765309513][por visitar: [801797283]]
[69][NODO 804689083][por visitar: [801797283]]
[70][NODO 1778371102][por visitar: [801797283]]
[71][NODO 162036355][por visitar: [801797283]]
[72][NODO 801797428][por visitar: [801797283]]
[73][NODO 801797429][por visitar: [801797283]]
[74][NODO 801797431][por visitar: [801797283]]
[75][NODO 801797099][por visitar: [801797283]]
[76][NODO 801797105][por visitar: [801797283]]
[77][NODO 801797106][por visitar: [801797283]]
[78][NODO 801797313][por visitar: [801797283]]
[79][NODO 801797312][por visitar: [801797283]]
[80][NODO 801797309][por visitar: [801797283]]
[81][NODO 801797307][por visitar: [801797283]]
[82][NODO 801797306][por visitar: [801797283]]
[83][NODO 801797283][por visitar: []]
